title,pdf_link
Details of MOD provider of Information Asset Register (IAR),https://assets.publishing.service.gov.uk/media/5a804411e5274a2e8ab4f280/20151214-Redacted_10057.pdf
"UK armed forces personnel accommodated at the Victoria hotel, Silema, Malta",https://assets.publishing.service.gov.uk/media/5a74e97c40f0b65c0e8457dd/20151217-FOI2015_10521_Hotel_accommodation_in_Malta.pdf
List of all requests for ExSUL from MOD civil servants to accompany their spouses on UK and overseas postings 1 April 2014 to 19 October 2015,https://assets.publishing.service.gov.uk/media/5a8031d4ed915d74e33f901b/20151116-Details_of_requests_for_ExSUL_from_MOD_civil_servants.pdf
Average clearance time for War Pension applications and Supplementary Allowance claims as at 31 October 2015,https://assets.publishing.service.gov.uk/media/5a7f98d840f0b62305b881bd/20151216-Clearance_dates_of_War_Pensions_Scheme.pdf
List of Royal Navy and Royal Fleet Auxiliary ships that qualified for the Naval General Service (NGS) medal 1915-1962 clasp 'Canal Zone',https://assets.publishing.service.gov.uk/media/5a7f9dfc40f0b62305b883c9/20151218-List_of_RN_RFA_ships_qualified_for_NGSMedal_1915-1962_Clasp_Canal_Zone.pdf
MOD Police fleet vehicle purchases and maintenance 1 January 2014 to 31 October 2015,https://assets.publishing.service.gov.uk/media/5a751712e5274a59fa717521/20151218_REDACTED_Reply_eCase_2015-10330_Re_MDP_Vehicle_Fleet_Information.pdf
"Copy of the MPM 57A, Medical adjudication and policy statements",https://assets.publishing.service.gov.uk/media/5a7f5c54e5274a2e8ab4bb62/20151223-MPM_57A_and_Medical_Adjudication_and_Policy_statements.pdf
Attachment: Veterans Agency Medical Adjudication guidance,https://assets.publishing.service.gov.uk/media/5a804a07e5274a2e87db8f4b/Veterans_Agency_Medical_Adjudication_Guidance.pdf
Attachment: War Pensions medical advisers instructions and procedures manual,https://assets.publishing.service.gov.uk/media/5a80202ce5274a2e8ab4e546/WPMA_instructions_Optimized.pdf
Attachment: Veterans Agency medical handbook,https://assets.publishing.service.gov.uk/media/5a7f9e53ed915d74e622b8d4/MPM57A-Veterans_Agency_Medical_Handbook.pdf
Details of operations to destroy chemical weapons in the MND(SE) AOR 2005 to 2006,https://assets.publishing.service.gov.uk/media/5a806e96ed915d74e622e69d/20151207-FOI2015_06562_Destruction_of_chemical_weapons_Afghanistan.pdf
"Attachment: CBRN (Chemical, Biological, Radiological and Nuclear) site recce report dated 16 January 2006 ",https://assets.publishing.service.gov.uk/media/5a804ebded915d74e33f9acb/20151208-CBRN_Site_Recce_Report-16Jan06.pdf
"Attachment: MND(SE) (Multi-National Division(SE)) CBRN site survey report Operation Bedouin I, 16 January 2006",https://assets.publishing.service.gov.uk/media/5a80c398ed915d74e62304fb/20151208-MND_SE__CBRN_site_survey_report-OP-Bedouin.pdf
"Attachment: MND(SE) CBRN site survey report Operation Bedouin I, 16 January 2006",https://assets.publishing.service.gov.uk/media/5a81757740f0b623026976b6/20151208-MND_SE__CBRN_site_survey_report-OP-Bedouin_II.pdf
Attachment: Op Bedouin 2 BDO report,https://assets.publishing.service.gov.uk/media/5a75ade940f0b67f59fcec40/20151208-OP-Bedouin-2_BDO_Report.pdf
